date_installation,departement
2004-01-05,1
2004-01-06,1
2004-01-08,1
2004-01-09,2
2004-01-10,2
2004-01-13,2
2004-01-16,1
2004-01-20,1
2004-01-24,1
2004-01-30,1
2004-02-04,1
2004-02-13,1
2004-02-14,1
2004-03-30,1
2004-04-07,1
2004-05-10,2
2004-07-03,2
2004-08-04,2
2004-08-05,1
2004-08-09,1
2004-09-02,2
2004-09-15,2
2004-09-17,1
2004-09-23,3
2004-09-28,1
2004-09-30,1
2004-10-01,1
2004-10-02,2
2004-10-15,3
2004-10-19,3
2004-10-21,1
2004-11-18,1
2004-11-24,1
2004-11-27,1
2004-12-01,1
2004-12-02,1
2004-12-06,3
2004-12-07,1
2004-12-08,1
2004-12-09,3
2004-12-10,1
2004-12-11,1
2004-12-15,2
2004-12-16,1
2004-12-20,5
2004-12-30,1
