annee_installation,departement,count
2003,13,1
2003,14,1
2003,16,2
2003,17,1
2003,25,2
2003,33,1
2003,35,1
2003,49,1
2003,57,3
2003,62,2
2003,64,1
2003,67,2
2003,69,3
2003,71,1
2003,78,1
2003,80,1
2003,86,2
2003,91,3
2003,92,2
2003,93,1
2003,94,1
2004,1,2
2004,2,1
2004,3,4
2004,4,1
2004,6,2
2004,7,1
2004,12,2
2004,13,4
2004,15,1
2004,17,1
2004,18,1
2004,21,1
2004,26,2
2004,28,1
2004,29,1
2004,33,1
2004,34,2
2004,35,1
2004,38,1
2004,43,1
2004,44,2
2004,45,2
2004,46,1
2004,47,2
2004,53,1
2004,56,1
2004,58,1
2004,60,1
2004,64,1
2004,67,1
2004,68,1
2004,71,1
2004,72,2
2004,73,1
2004,75,5
2004,76,1
2004,77,3
2004,78,1
2004,80,1
2004,81,1
2004,84,1
2004,85,1
2004,92,1
2004,93,1
2004,94,1
2004,95,2
2004,974,2
2005,1,3
2005,2,7
2005,3,2
2005,4,3
2005,5,2
2005,7,2
2005,8,3
2005,9,1
2005,10,5
2005,11,3
2005,12,1
2005,13,6
2005,14,1
2005,15,2
2005,16,2
2005,17,4
2005,18,1
2005,19,2
2005,21,4
2005,22,2
2005,23,2
2005,24,6
2005,25,3
2005,26,6
2005,27,4
2005,28,5
2005,29,6
2005,30,5
2005,31,3
2005,32,3
2005,33,7
2005,34,4
2005,35,4
2005,36,5
2005,37,2
2005,38,8
2005,39,4
2005,40,3
2005,41,6
2005,42,6
2005,43,2
2005,44,5
2005,45,5
2005,46,2
2005,47,3
2005,48,1
2005,49,6
2005,50,2
2005,51,5
2005,52,4
2005,53,4
2005,54,7
2005,55,2
2005,56,7
2005,57,4
2005,58,3
2005,59,6
2005,60,8
2005,61,5
2005,62,2
2005,63,5
2005,64,2
2005,65,2
2005,66,4
2005,67,3
2005,68,3
2005,70,5
2005,71,4
2005,72,3
2005,73,2
2005,74,5
2005,75,3
2005,76,4
2005,77,3
2005,78,3
2005,79,5
2005,80,5
2005,81,5
2005,82,4
2005,83,4
2005,84,1
2005,85,8
2005,86,4
2005,87,7
2005,88,5
2005,89,4
2005,90,3
2005,91,3
2005,92,2
2005,93,2
2005,94,3
2005,95,2
2005,971,4
2005,972,5
2005,974,5
2005,,8
2006,1,3
2006,2,1
2006,3,3
2006,4,2
2006,5,2
2006,6,6
2006,7,2
2006,9,1
2006,10,3
2006,12,1
2006,13,3
2006,14,2
2006,16,3
