,date_heure_dernier_changement,date_heure_creation,departement,latitude,longitude,id,direction,equipement,date_installation,type,emplacement,route,longueur_troncon_km,vitesse_poids_lourds_kmh,vitesse_vehicules_legers_kmh,departmentName,regionName,annee_installation
0,2018-06-28T12:24:19Z,2018-06-28T11:06:32Z,57.0,49.11907,6.20408,12923,Vallières les Bordes vers Bellecroix,FARECO,2010-02-12,Radar feu rouge,METZ,,,,,Moselle,Alsace-Champagne-Ardenne-Lorraine,2010
1,2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,57.0,48.65425,6.928660000000001,13700,HEMING vers LUNEVILLE,MORPHO,2012-05-31,Radar fixe,ST GEORGES,RN4,,,90.0,Moselle,Alsace-Champagne-Ardenne-Lorraine,2012
2,2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,57.0,49.401,6.2821,13701,THIONVILLE vers SIERCK LES BAINS,MORPHO,2013-09-27,Radar fixe,KOENIGSMACKER,RD654,,,80.0,Moselle,Alsace-Champagne-Ardenne-Lorraine,2013
3,2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,57.0,48.6404,6.9047,13702,BLAMONT vers HEMING,MORPHO,2012-08-16,Radar fixe,IBIGNY,RN4,,,80.0,Moselle,Alsace-Champagne-Ardenne-Lorraine,2012
4,2018-09-05T12:20:11Z,2018-09-05T12:20:11Z,57.0,49.27277,6.17428,13735,THIONVILLE vers METZ,MORPHO,2003-11-06,Radar fixe,RICHEMONT,A31,,,110.0,Moselle,Alsace-Champagne-Ardenne-Lorraine,2003
5,2018-09-05T12:20:13Z,2018-09-05T12:20:13Z,57.0,49.398999999999994,6.2804,13766,SIERCK LES BAINS vers THIONVILLE,MORPHO,2013-10-04,Radar fixe,KOENIGSMACKER,RD654,,,80.0,Moselle,Alsace-Champagne-Ardenne-Lorraine,2013
6,2018-09-05T12:20:13Z,2018-09-05T12:20:13Z,57.0,49.2385,6.06709,13767,STE MARIE AUX CHENES vers ROMBAS,MORPHO,2013-11-15,Radar fixe,ROMBAS,RD181,,,70.0,Moselle,Alsace-Champagne-Ardenne-Lorraine,2013
7,2018-09-05T12:20:14Z,2018-09-05T12:20:14Z,57.0,49.127309999999994,6.1618,13793,METZ vers THIONVILLE,MORPHO,2003-11-06,Radar fixe,METZ,A31,,,90.0,Moselle,Alsace-Champagne-Ardenne-Lorraine,2003
8,2018-09-05T12:20:16Z,2018-09-05T12:20:16Z,57.0,49.376999999999995,6.0908,13822,ANGEVILLERS vers THIONVILLE,PARIFEX,2012-07-30,Radar discriminant,THIONVILLE,RD14,,70.0,90.0,Moselle,Alsace-Champagne-Ardenne-Lorraine,2012
9,2018-09-05T12:20:32Z,2018-09-05T12:20:32Z,57.0,49.052103,6.170171,14095,NANCY vers THIONVILLE,PARIFEX,2016-12-12,Radar discriminant,MARLY,RN431,,80.0,110.0,Moselle,Alsace-Champagne-Ardenne-Lorraine,2016
10,2018-09-05T12:20:32Z,2018-09-05T12:20:32Z,57.0,48.700083,6.971603,14097,STRASBOURG vers NANCY,PARIFEX,2017-06-09,Radar discriminant,HEMING,RN4,,80.0,110.0,Moselle,Alsace-Champagne-Ardenne-Lorraine,2017
11,2018-09-05T12:20:41Z,2018-09-05T12:20:41Z,57.0,49.1069,6.14738,14221,NANCY vers THIONVILLE,MORPHO,2003-12-18,Radar fixe,MONTIGNY LES METZ,A31,,,90.0,Moselle,Alsace-Champagne-Ardenne-Lorraine,2003
12,2018-09-05T12:20:48Z,2018-09-05T12:20:48Z,57.0,49.16668,6.875610000000001,14331,FORBACH VERS METZ,MORPHO,2005-12-01,Radar fixe,MORSBACH,A320,,,110.0,Moselle,Alsace-Champagne-Ardenne-Lorraine,2005
13,2018-09-05T12:20:48Z,2018-09-05T12:20:48Z,57.0,49.11965,6.21497,14332,STRASBOURG vers METZ,MORPHO,2006-02-01,Radar fixe,METZ,RN233,,,90.0,Moselle,Alsace-Champagne-Ardenne-Lorraine,2006
14,2018-09-05T12:20:50Z,2018-09-05T12:20:50Z,57.0,49.13881,6.81451,14361,STRASBOURG VERS PARIS,MORPHO,2006-01-31,Radar fixe,BETTING,A4,,,110.0,Moselle,Alsace-Champagne-Ardenne-Lorraine,2006
15,2018-09-05T12:21:22Z,2018-09-05T12:21:22Z,57.0,49.157790000000006,6.948339999999999,14746,Forbach vers Sarreguemines,MORPHO,2009-09-15,Radar fixe,BOUSBACH,RD31Bis,,,90.0,Moselle,Alsace-Champagne-Ardenne-Lorraine,2009
16,2018-09-05T12:21:28Z,2018-09-05T12:21:28Z,57.0,48.96695,6.54933,14802,Brulange vers Morhange,MORPHO,2009-07-31,Radar fixe,BRULANGE,RD999,,,50.0,Moselle,Alsace-Champagne-Ardenne-Lorraine,2009
17,2018-09-05T12:21:28Z,2018-09-05T12:21:28Z,57.0,48.96498,6.55004,14803,Morhange vers Brulange,MORPHO,2009-08-14,Radar fixe,BRULANGE,RD999,,,50.0,Moselle,Alsace-Champagne-Ardenne-Lorraine,2009
18,2018-09-05T12:21:57Z,2018-09-05T12:21:57Z,57.0,49.3479,6.16564,15081,LUXEMBOURG vers METZ,MORPHO,2007-07-06,Radar fixe,THIONVILLE,A31,,,90.0,Moselle,Alsace-Champagne-Ardenne-Lorraine,2007
19,2018-09-05T12:22:05Z,2018-09-05T12:22:05Z,57.0,48.751000000000005,7.164289999999999,15162,PARIS VERS STRASBOURG,MORPHO,2007-06-25,Radar fixe,BROUVILLER,RN4,,,110.0,Moselle,Alsace-Champagne-Ardenne-Lorraine,2007
20,2018-09-05T12:22:42Z,2018-09-05T12:22:42Z,57.0,49.153999999999996,6.84617,15434,ST AVOLD vers FORBACH,MORPHO,2008-04-03,Radar fixe,ROSBRUCK,A320,,,110.0,Moselle,Alsace-Champagne-Ardenne-Lorraine,2008
21,2018-09-05T12:22:42Z,2018-09-05T12:22:42Z,57.0,49.1442,7.04166,15435,Sarreguemines vers Allemagne,MORPHO,2008-02-22,Radar fixe,GROSBLIEDERSTROFF,RN61,,,110.0,Moselle,Alsace-Champagne-Ardenne-Lorraine,2008
22,2018-09-05T12:23:00Z,2018-09-05T12:23:00Z,57.0,49.3172,6.08166,15556,LONGWY VERS METZ,MORPHO,2005-01-03,Radar fixe,SEREMANGE ERZANGE,A30,,,110.0,Moselle,Alsace-Champagne-Ardenne-Lorraine,2005
23,2018-09-05T12:23:00Z,2018-09-05T12:23:00Z,57.0,49.15,6.1839900000000005,15561,THIONVILLE vers METZ,MORPHO,2005-01-19,Radar fixe,LA MAXE,A31,,,110.0,Moselle,Alsace-Champagne-Ardenne-Lorraine,2005
